date,day,anchor_time,direction,entry,sl,tp,exit_price,risk_dollars,pnl,rr_achieved,outcome,exit_time
2024-12-10,Tuesday,12:55,short,2676.57,2678.41,2671.07,2678.41,30,-30.0,-1.0,sl,2024-12-10 13:45:00
2024-12-11,Wednesday,12:55,long,2696.55,2695.0,2701.19,2695.0,30,-30.0,-1.0,sl,2024-12-11 13:20:00
2024-12-12,Thursday,12:55,short,2706.01,2709.63,2695.14,2709.63,30,-30.0,-1.0,sl,2024-12-12 13:30:00
2024-12-13,Friday,12:55,short,2670.45,2673.36,2661.7,2661.7,30,90.0,3.0,tp,2024-12-13 13:45:00
2024-12-17,Tuesday,12:55,long,2643.05,2641.97,2646.3,2646.3,30,90.0,3.0,tp,2024-12-17 13:05:00
2024-12-18,Wednesday,12:55,short,2643.41,2644.6,2639.84,2644.6,30,-30.0,-1.0,sl,2024-12-18 13:15:00
2024-12-19,Thursday,12:55,short,2604.35,2606.76,2597.12,2597.12,30,90.0,3.0,tp,2024-12-19 13:50:00
2024-12-20,Friday,12:55,long,2603.83,2602.74,2607.09,2602.74,30,-30.0,-1.0,sl,2024-12-20 13:20:00
2024-12-24,Tuesday,12:55,long,2613.96,2612.41,2618.62,2612.41,30,-30.0,-1.0,sl,2024-12-24 13:30:00
2024-12-26,Thursday,12:55,long,2627.22,2626.11,2630.55,2630.55,30,90.0,3.0,tp,2024-12-26 13:10:00
2024-12-27,Friday,12:55,short,2625.62,2627.2,2620.89,2627.2,30,-30.0,-1.0,sl,2024-12-27 13:15:00
2024-12-31,Tuesday,12:55,short,2610.99,2612.14,2607.52,2607.52,30,90.0,3.0,tp,2024-12-31 13:15:00
2025-01-07,Tuesday,12:55,long,2652.32,2649.53,2660.68,2660.68,30,90.0,3.0,tp,2025-01-07 13:20:00
2025-01-08,Wednesday,12:55,long,2652.2,2651.04,2655.7,2655.7,30,90.0,3.0,tp,2025-01-08 13:05:00
2025-01-09,Thursday,12:55,short,2673.21,2675.45,2666.51,2675.45,30,-30.0,-1.0,sl,2025-01-09 13:20:00
2025-01-10,Friday,12:55,short,2677.85,2679.06,2674.23,2679.06,30,-30.0,-1.0,sl,2025-01-10 13:10:00
2025-01-14,Tuesday,12:55,long,2668.67,2667.64,2671.77,2667.64,30,-30.0,-1.0,sl,2025-01-14 13:15:00
2025-01-15,Wednesday,12:55,short,2684.31,2685.41,2681.01,2685.41,30,-30.0,-1.0,sl,2025-01-15 13:10:00
2025-01-16,Thursday,12:55,short,2703.47,2704.96,2699.01,2704.96,30,-30.0,-1.0,sl,2025-01-16 13:10:00
2025-01-17,Friday,12:55,short,2710.74,2712.11,2706.64,2706.64,30,90.0,3.0,tp,2025-01-17 13:15:00
2025-01-21,Tuesday,12:55,long,2727.17,2726.1,2730.38,2726.1,30,-30.0,-1.0,sl,2025-01-21 13:25:00
2025-01-22,Wednesday,12:55,long,2758.72,2757.78,2761.55,2757.78,30,-30.0,-1.0,sl,2025-01-22 13:15:00
2025-01-23,Thursday,12:55,short,2742.6,2746.36,2731.34,2746.36,30,-30.0,-1.0,sl,2025-01-23 14:20:00
2025-01-24,Friday,12:55,long,2778.93,2777.35,2783.66,2783.66,30,90.0,3.0,tp,2025-01-24 13:40:00
2025-01-28,Tuesday,12:55,long,2745.64,2744.61,2748.74,2748.74,30,90.0,3.0,tp,2025-01-28 13:30:00
2025-01-29,Wednesday,12:55,long,2756.93,2755.92,2759.94,2755.92,30,-30.0,-1.0,sl,2025-01-29 13:05:00
2025-01-30,Thursday,12:55,long,2780.44,2779.68,2782.71,2779.68,30,-30.0,-1.0,sl,2025-01-30 13:30:00
2025-01-31,Friday,12:55,short,2804.72,2806.31,2799.92,2806.31,30,-30.0,-1.0,sl,2025-01-31 13:20:00
2025-02-04,Tuesday,12:55,long,2822.95,2820.86,2829.21,2829.21,30,90.0,3.0,tp,2025-02-04 13:20:00
2025-02-11,Tuesday,12:55,short,2886.61,2891.16,2872.97,2891.16,30,-30.0,-1.0,sl,2025-02-11 13:30:00
2025-02-12,Wednesday,12:55,short,2883.95,2886.13,2877.41,2877.41,30,90.0,3.0,tp,2025-02-12 13:10:00
2025-02-13,Thursday,12:55,short,2917.03,2918.47,2912.71,2912.71,30,90.0,3.0,tp,2025-02-13 13:20:00
2025-02-14,Friday,12:55,short,2929.77,2932.17,2922.58,2932.17,30,-30.0,-1.0,sl,2025-02-14 13:30:00
2025-02-18,Tuesday,12:55,short,2916.69,2919.19,2909.17,2919.19,30,-30.0,-1.0,sl,2025-02-18 13:40:00
2025-02-19,Wednesday,12:55,long,2935.2,2932.15,2944.36,2932.15,30,-30.0,-1.0,sl,2025-02-19 14:25:00
2025-02-20,Thursday,12:55,short,2943.37,2947.66,2930.52,2947.66,30,-30.0,-1.0,sl,2025-02-20 13:35:00
2025-02-21,Friday,12:55,long,2931.56,2929.25,2938.49,2929.25,30,-30.0,-1.0,sl,2025-02-21 13:30:00
2025-02-25,Tuesday,12:55,short,2928.09,2930.08,2922.11,2930.08,30,-30.0,-1.0,sl,2025-02-25 13:05:00
2025-02-26,Wednesday,12:55,short,2913.27,2915.52,2906.5,2906.5,30,90.0,3.0,tp,2025-02-26 13:55:00
2025-02-27,Thursday,12:55,long,2887.34,2883.85,2897.83,2883.85,30,-30.0,-1.0,sl,2025-02-27 13:30:00
2025-02-28,Friday,12:55,long,2856.53,2855.77,2858.81,2858.81,30,90.0,3.0,tp,2025-02-28 13:05:00
2025-03-04,Tuesday,12:55,long,2925.58,2922.77,2934.0,2922.77,30,-30.0,-1.0,sl,2025-03-04 13:25:00
2025-03-11,Tuesday,12:55,short,2911.31,2914.36,2902.14,2914.36,30,-30.0,-1.0,sl,2025-03-11 13:30:00
2025-03-12,Wednesday,12:55,short,2916.6,2919.32,2908.44,2908.44,30,90.0,3.0,tp,2025-03-12 13:20:00
2025-03-13,Thursday,12:55,short,2940.96,2943.43,2933.56,2943.43,30,-30.0,-1.0,sl,2025-03-13 13:05:00
2025-03-14,Friday,12:55,short,2993.61,2995.51,2987.92,2995.51,30,-30.0,-1.0,sl,2025-03-14 13:15:00
2025-03-18,Tuesday,12:55,long,3035.16,3033.44,3040.33,3033.44,30,-30.0,-1.0,sl,2025-03-18 13:05:00
2025-03-19,Wednesday,12:55,long,3038.05,3035.4,3046.01,3035.4,30,-30.0,-1.0,sl,2025-03-19 13:10:00
