date,day,anchor_time,direction,entry,sl,tp,exit_price,risk_dollars,pnl,rr_achieved,outcome,exit_time
2024-12-10,Tuesday,13:00,short,2674.7,2677.28,2666.98,2677.28,30,-30.0,-1.0,sl,2024-12-10 13:40:00
2024-12-11,Wednesday,13:00,long,2697.86,2695.8,2704.06,2695.8,30,-30.0,-1.0,sl,2024-12-11 13:20:00
2024-12-12,Thursday,13:00,short,2704.81,2708.24,2694.5,2708.24,30,-30.0,-1.0,sl,2024-12-12 13:20:00
2024-12-13,Friday,13:00,short,2667.94,2671.01,2658.74,2658.74,30,90.0,3.0,tp,2024-12-13 14:35:00
2024-12-17,Tuesday,13:00,long,2644.92,2644.05,2647.5,2644.05,30,-30.0,-1.0,sl,2024-12-17 13:10:00
2024-12-18,Wednesday,13:00,short,2642.15,2643.59,2637.82,2643.59,30,-30.0,-1.0,sl,2024-12-18 13:10:00
2024-12-19,Thursday,13:00,short,2603.09,2605.12,2597.0,2605.12,30,-30.0,-1.0,sl,2024-12-19 13:10:00
2024-12-20,Friday,13:00,short,2603.24,2605.26,2597.19,2605.26,30,-30.0,-1.0,sl,2024-12-20 13:30:00
2024-12-24,Tuesday,13:00,long,2614.26,2612.48,2619.6,2612.48,30,-30.0,-1.0,sl,2024-12-24 13:30:00
2024-12-26,Thursday,13:00,long,2630.78,2629.09,2635.83,2629.09,30,-30.0,-1.0,sl,2024-12-26 13:15:00
2024-12-27,Friday,13:00,short,2623.99,2625.67,2618.96,2625.67,30,-30.0,-1.0,sl,2024-12-27 13:10:00
2024-12-31,Tuesday,13:00,short,2608.74,2609.83,2605.49,2609.83,30,-30.0,-1.0,sl,2024-12-31 13:20:00
2025-01-07,Tuesday,13:00,short,2650.04,2653.91,2638.39,2653.91,30,-30.0,-1.0,sl,2025-01-07 13:10:00
2025-01-08,Wednesday,13:00,long,2657.11,2654.52,2664.89,2654.52,30,-30.0,-1.0,sl,2025-01-08 13:25:00
2025-01-09,Thursday,13:00,short,2673.2,2675.75,2665.56,2675.75,30,-30.0,-1.0,sl,2025-01-09 13:20:00
2025-01-10,Friday,13:00,short,2675.44,2678.81,2665.34,2678.81,30,-30.0,-1.0,sl,2025-01-10 13:10:00
2025-01-14,Tuesday,13:00,long,2670.72,2668.22,2678.24,2668.22,30,-30.0,-1.0,sl,2025-01-14 13:15:00
2025-01-15,Wednesday,13:00,long,2684.9,2682.66,2691.65,2682.66,30,-30.0,-1.0,sl,2025-01-15 13:20:00
2025-01-16,Thursday,13:00,long,2704.46,2702.92,2709.08,2709.08,30,90.0,3.0,tp,2025-01-16 13:20:00
2025-01-17,Friday,13:00,short,2709.36,2710.66,2705.45,2710.66,30,-30.0,-1.0,sl,2025-01-17 13:20:00
2025-01-21,Tuesday,13:00,long,2728.34,2726.43,2734.07,2726.43,30,-30.0,-1.0,sl,2025-01-21 13:25:00
2025-01-22,Wednesday,13:00,short,2758.28,2760.8,2750.71,2750.71,30,90.0,3.0,tp,2025-01-22 14:35:00
2025-01-23,Thursday,13:00,short,2742.41,2744.88,2735.0,2744.88,30,-30.0,-1.0,sl,2025-01-23 14:15:00
2025-01-24,Friday,13:00,long,2780.31,2778.43,2785.96,2778.43,30,-30.0,-1.0,sl,2025-01-24 14:15:00
2025-01-28,Tuesday,13:00,long,2747.07,2744.84,2753.77,2753.77,30,90.0,3.0,tp,2025-01-28 14:25:00
2025-01-29,Wednesday,13:00,short,2756.42,2758.19,2751.12,2758.19,30,-30.0,-1.0,sl,2025-01-29 13:50:00
2025-01-31,Friday,13:00,short,2803.92,2805.79,2798.32,2805.79,30,-30.0,-1.0,sl,2025-01-31 13:15:00
2025-02-04,Tuesday,13:00,long,2823.0,2821.15,2828.57,2828.57,30,90.0,3.0,tp,2025-02-04 13:20:00
2025-02-12,Wednesday,13:00,short,2883.43,2885.63,2876.83,2876.83,30,90.0,3.0,tp,2025-02-12 13:10:00
2025-02-14,Friday,13:00,short,2927.64,2929.32,2922.59,2929.32,30,-30.0,-1.0,sl,2025-02-14 13:15:00
2025-02-18,Tuesday,13:00,short,2916.42,2917.92,2911.91,2917.92,30,-30.0,-1.0,sl,2025-02-18 13:25:00
2025-02-19,Wednesday,13:00,long,2939.97,2938.41,2944.66,2938.41,30,-30.0,-1.0,sl,2025-02-19 13:15:00
2025-02-20,Thursday,13:00,short,2942.76,2944.95,2936.16,2944.95,30,-30.0,-1.0,sl,2025-02-20 13:15:00
2025-02-21,Friday,13:00,long,2932.47,2929.75,2940.64,2929.75,30,-30.0,-1.0,sl,2025-02-21 13:30:00
2025-02-25,Tuesday,13:00,long,2929.58,2926.86,2937.73,2937.73,30,90.0,3.0,tp,2025-02-25 13:50:00
2025-02-26,Wednesday,13:00,short,2911.43,2914.01,2903.7,2903.7,30,90.0,3.0,tp,2025-02-26 14:00:00
2025-02-27,Thursday,13:00,long,2888.07,2884.55,2898.62,2884.55,30,-30.0,-1.0,sl,2025-02-27 13:30:00
2025-02-28,Friday,13:00,long,2859.94,2856.67,2869.74,2856.67,30,-30.0,-1.0,sl,2025-02-28 13:20:00
2025-03-04,Tuesday,13:00,long,2926.28,2925.12,2929.73,2925.12,30,-30.0,-1.0,sl,2025-03-04 13:10:00
2025-03-11,Tuesday,13:00,short,2910.11,2911.09,2907.15,2911.09,30,-30.0,-1.0,sl,2025-03-11 13:10:00
2025-03-13,Thursday,13:00,long,2942.92,2942.01,2945.67,2945.67,30,90.0,3.0,tp,2025-03-13 13:10:00
2025-03-14,Friday,13:00,short,2992.15,2994.74,2984.37,2994.74,30,-30.0,-1.0,sl,2025-03-14 13:15:00
2025-03-18,Tuesday,13:00,short,3033.94,3036.72,3025.6,3036.72,30,-30.0,-1.0,sl,2025-03-18 13:20:00
2025-03-19,Wednesday,13:00,short,3035.9,3038.79,3027.23,3027.23,30,90.0,3.0,tp,2025-03-19 14:10:00
2025-03-20,Thursday,13:00,short,3036.52,3038.41,3030.83,3030.83,30,90.0,3.0,tp,2025-03-20 13:20:00
2025-03-21,Friday,13:00,long,3036.21,3034.05,3042.69,3034.05,30,-30.0,-1.0,sl,2025-03-21 13:20:00
2025-03-25,Tuesday,13:00,long,3023.07,3021.32,3028.31,3021.32,30,-30.0,-1.0,sl,2025-03-25 13:15:00
